time,"P(A)","P(B)","P(CLK)","P(ROUT)"
6.050000e-12,1.428169e+00,1.075868e+00,1.414136e+00,7.257346e-01
6.075000e-12,1.428674e+00,1.077457e+00,1.414065e+00,7.291038e-01
6.100000e-12,1.429064e+00,1.078961e+00,1.413755e+00,7.324287e-01
6.125000e-12,1.429344e+00,1.080381e+00,1.413209e+00,7.357091e-01
6.150000e-12,1.429516e+00,1.081720e+00,1.412435e+00,7.389444e-01
6.175000e-12,1.429584e+00,1.082979e+00,1.411438e+00,7.421346e-01
6.200000e-12,1.429550e+00,1.084161e+00,1.410226e+00,7.452796e-01
6.225000e-12,1.429418e+00,1.085268e+00,1.408805e+00,7.483791e-01
6.250000e-12,1.429191e+00,1.086302e+00,1.407184e+00,7.514334e-01
6.275000e-12,1.428870e+00,1.087266e+00,1.405370e+00,7.544423e-01
6.300000e-12,1.428459e+00,1.088162e+00,1.403371e+00,7.574062e-01
6.325000e-12,1.427960e+00,1.088993e+00,1.401198e+00,7.603252e-01
6.350000e-12,1.427376e+00,1.089763e+00,1.398859e+00,7.631996e-01
6.375000e-12,1.426709e+00,1.090473e+00,1.396363e+00,7.660297e-01
6.400000e-12,1.425963e+00,1.091126e+00,1.393720e+00,7.688161e-01
6.425000e-12,1.425142e+00,1.091727e+00,1.390942e+00,7.715592e-01
6.450000e-12,1.424248e+00,1.092276e+00,1.388037e+00,7.742596e-01
6.475000e-12,1.423286e+00,1.092779e+00,1.385017e+00,7.769178e-01
6.500000e-12,1.422259e+00,1.093237e+00,1.381893e+00,7.795346e-01
6.525000e-12,1.421174e+00,1.093654e+00,1.378676e+00,7.821107e-01
6.550000e-12,1.420035e+00,1.094032e+00,1.375378e+00,7.846468e-01
6.575000e-12,1.418848e+00,1.094376e+00,1.372010e+00,7.871439e-01
6.600000e-12,1.417618e+00,1.094687e+00,1.368583e+00,7.896026e-01
6.625000e-12,1.416354e+00,1.094970e+00,1.365110e+00,7.920241e-01
6.650000e-12,1.415062e+00,1.095226e+00,1.361602e+00,7.944091e-01
6.675000e-12,1.413749e+00,1.095460e+00,1.358072e+00,7.967587e-01
6.700000e-12,1.412424e+00,1.095674e+00,1.354531e+00,7.990738e-01
