time,"I(L1|XDUT)"
1.777500e-11,5.827481e-06
1.780000e-11,5.825931e-06
1.782500e-11,5.824448e-06
1.785000e-11,5.823036e-06
1.787500e-11,5.821699e-06
1.790000e-11,5.820438e-06
1.792500e-11,5.819257e-06
1.795000e-11,5.818158e-06
1.797500e-11,5.817143e-06
1.800000e-11,5.816214e-06
1.802500e-11,5.815371e-06
1.805000e-11,5.814614e-06
1.807500e-11,5.813945e-06
1.810000e-11,5.813363e-06
1.812500e-11,5.812868e-06
1.815000e-11,5.812459e-06
1.817500e-11,5.812135e-06
1.820000e-11,5.811893e-06
1.822500e-11,5.811733e-06
1.825000e-11,5.811653e-06
1.827500e-11,5.811649e-06
1.830000e-11,5.811719e-06
1.832500e-11,5.811860e-06
1.835000e-11,5.812069e-06
1.837500e-11,5.812342e-06
1.840000e-11,5.812676e-06
1.842500e-11,5.813068e-06
1.845000e-11,5.813512e-06
1.847500e-11,5.814006e-06
1.850000e-11,5.814544e-06
1.852500e-11,5.815123e-06
1.855000e-11,5.815738e-06
1.857500e-11,5.816384e-06
1.860000e-11,5.817058e-06
1.862500e-11,5.817755e-06
1.865000e-11,5.818470e-06
1.867500e-11,5.819198e-06
1.870000e-11,5.819936e-06
1.872500e-11,5.820679e-06
1.875000e-11,5.821423e-06
1.877500e-11,5.822164e-06
1.880000e-11,5.822897e-06
1.882500e-11,5.823619e-06
1.885000e-11,5.824326e-06
1.887500e-11,5.825014e-06
1.890000e-11,5.825679e-06
1.892500e-11,5.826320e-06
1.895000e-11,5.826931e-06
1.897500e-11,5.827511e-06
1.900000e-11,5.828057e-06
1.902500e-11,5.828566e-06
1.905000e-11,5.829035e-06
1.907500e-11,5.829464e-06
1.910000e-11,5.829849e-06
1.912500e-11,5.830190e-06
1.915000e-11,5.830485e-06
1.917500e-11,5.830732e-06
1.920000e-11,5.830931e-06
1.922500e-11,5.831080e-06
1.925000e-11,5.831181e-06
1.927500e-11,5.831231e-06
1.930000e-11,5.831231e-06
1.932500e-11,5.831181e-06
1.935000e-11,5.831081e-06
1.937500e-11,5.830932e-06
1.940000e-11,5.830734e-06
1.942500e-11,5.830489e-06
1.945000e-11,5.830196e-06
1.947500e-11,5.829858e-06
1.950000e-11,5.829476e-06
1.952500e-11,5.829051e-06
1.955000e-11,5.828585e-06
1.957500e-11,5.828079e-06
1.960000e-11,5.827535e-06
1.962500e-11,5.826955e-06
1.965000e-11,5.826341e-06
1.967500e-11,5.825696e-06
1.970000e-11,5.825021e-06
