time,"V(A)","I(ROUT)","P(A)","P(OUT)"
3.190000e-12,5.403329e-05,4.815480e-07,4.635405e-01,4.490199e-01
3.200000e-12,5.415365e-05,4.809804e-07,4.651842e-01,4.506717e-01
3.210000e-12,5.427365e-05,4.804253e-07,4.668315e-01,4.523274e-01
3.220000e-12,5.439323e-05,4.798840e-07,4.684824e-01,4.539871e-01
3.230000e-12,5.451235e-05,4.793575e-07,4.701370e-01,4.556506e-01
3.240000e-12,5.463096e-05,4.788470e-07,4.717952e-01,4.573179e-01
3.250000e-12,5.474899e-05,4.783535e-07,4.734569e-01,4.589890e-01
3.260000e-12,5.486640e-05,4.778781e-07,4.751223e-01,4.606639e-01
3.270000e-12,5.498314e-05,4.774220e-07,4.767912e-01,4.623424e-01
3.280000e-12,5.509917e-05,4.769860e-07,4.784636e-01,4.640246e-01
3.290000e-12,5.521443e-05,4.765713e-07,4.801396e-01,4.657103e-01
3.300000e-12,5.532888e-05,4.761787e-07,4.818190e-01,4.673996e-01
3.310000e-12,5.544249e-05,4.758094e-07,4.835019e-01,4.690924e-01
3.320000e-12,5.555520e-05,4.754642e-07,4.851883e-01,4.707886e-01
3.330000e-12,5.566698e-05,4.751440e-07,4.868780e-01,4.724882e-01
3.340000e-12,5.577778e-05,4.748497e-07,4.885712e-01,4.741911e-01
3.350000e-12,5.588758e-05,4.745823e-07,4.902677e-01,4.758972e-01
3.360000e-12,5.599633e-05,4.743426e-07,4.919675e-01,4.776065e-01
3.370000e-12,5.610400e-05,4.741313e-07,4.936706e-01,4.793190e-01
3.380000e-12,5.621055e-05,4.739493e-07,4.953769e-01,4.810346e-01
3.390000e-12,5.631596e-05,4.737974e-07,4.970865e-01,4.827531e-01
3.400000e-12,5.642019e-05,4.736762e-07,4.987992e-01,4.844747e-01
3.410000e-12,5.652321e-05,4.735866e-07,5.005151e-01,4.861991e-01
3.420000e-12,5.662500e-05,4.735292e-07,5.022341e-01,4.879264e-01
3.430000e-12,5.672553e-05,4.735046e-07,5.039562e-01,4.896564e-01
3.440000e-12,5.682477e-05,4.735135e-07,5.056814e-01,4.913891e-01
3.450000e-12,5.692271e-05,4.735565e-07,5.074095e-01,4.931245e-01
