time,"V(L4|XLOADINA)","V(L4|XLOADINB)","V(8000)"
3.290000e-12,6.682689e-06,6.568343e-06,4.331017e-05
3.300000e-12,6.730396e-06,6.613276e-06,4.337452e-05
3.310000e-12,6.778184e-06,6.658367e-06,4.343847e-05
3.320000e-12,6.825977e-06,6.703540e-06,4.350202e-05
3.330000e-12,6.873700e-06,6.748719e-06,4.356517e-05
3.340000e-12,6.921277e-06,6.793830e-06,4.362791e-05
3.350000e-12,6.968636e-06,6.838799e-06,4.369025e-05
3.360000e-12,7.015702e-06,6.883551e-06,4.375217e-05
3.370000e-12,7.062403e-06,6.928015e-06,4.381367e-05
3.380000e-12,7.108670e-06,6.972120e-06,4.387476e-05
3.390000e-12,7.154431e-06,7.015795e-06,4.393543e-05
3.400000e-12,7.199620e-06,7.058971e-06,4.399567e-05
3.410000e-12,7.244169e-06,7.101581e-06,4.405550e-05
3.420000e-12,7.288014e-06,7.143559e-06,4.411490e-05
3.430000e-12,7.331091e-06,7.184841e-06,4.417388e-05
3.440000e-12,7.373339e-06,7.225364e-06,4.423244e-05
3.450000e-12,7.414699e-06,7.265068e-06,4.429058e-05
3.460000e-12,7.455113e-06,7.303893e-06,4.434829e-05
3.470000e-12,7.494526e-06,7.341783e-06,4.440558e-05
3.480000e-12,7.532885e-06,7.378683e-06,4.446245e-05
3.490000e-12,7.570140e-06,7.414540e-06,4.451890e-05
3.500000e-12,7.606241e-06,7.449305e-06,4.457493e-05
3.510000e-12,7.641143e-06,7.482930e-06,4.463055e-05
3.520000e-12,7.674803e-06,7.515368e-06,4.468575e-05
3.530000e-12,7.707179e-06,7.546577e-06,4.474054e-05
3.540000e-12,7.738232e-06,7.576517e-06,4.479492e-05
3.550000e-12,7.767929e-06,7.605149e-06,4.484889e-05
3.560000e-12,7.796234e-06,7.632438e-06,4.490246e-05
3.570000e-12,7.823118e-06,7.658351e-06,4.495562e-05
3.580000e-12,7.848554e-06,7.682859e-06,4.500839e-05
3.590000e-12,7.872516e-06,7.705934e-06,4.506077e-05
3.600000e-12,7.894982e-06,7.727551e-06,4.511275e-05
3.610000e-12,7.915935e-06,7.747689e-06,4.516435e-05
3.620000e-12,7.935356e-06,7.766329e-06,4.521557e-05
3.630000e-12,7.953233e-06,7.783454e-06,4.526641e-05
3.640000e-12,7.969556e-06,7.799052e-06,4.531687e-05
3.650000e-12,7.984315e-06,7.813112e-06,4.536697e-05
3.660000e-12,7.997508e-06,7.825626e-06,4.541670e-05
3.670000e-12,8.009130e-06,7.836590e-06,4.546608e-05
3.680000e-12,8.019184e-06,7.846000e-06,4.551510e-05
3.690000e-12,8.027672e-06,7.853859e-06,4.556377e-05
3.700000e-12,8.034601e-06,7.860169e-06,4.561209e-05
3.710000e-12,8.039980e-06,7.864937e-06,4.566008e-05
3.720000e-12,8.043820e-06,7.868171e-06,4.570774e-05
3.730000e-12,8.046136e-06,7.869882e-06,4.575507e-05
3.740000e-12,8.046944e-06,7.870086e-06,4.580208e-05
3.750000e-12,8.046264e-06,7.868798e-06,4.584877e-05
3.760000e-12,8.044118e-06,7.866038e-06,4.589515e-05
3.770000e-12,8.040530e-06,7.861828e-06,4.594123e-05
3.780000e-12,8.035526e-06,7.856190e-06,4.598701e-05
3.790000e-12,8.029136e-06,7.849153e-06,4.603249e-05
3.800000e-12,8.021391e-06,7.840743e-06,4.607769e-05
3.810000e-12,8.012323e-06,7.830992e-06,4.612261e-05
3.820000e-12,8.001969e-06,7.819933e-06,4.616726e-05
3.830000e-12,7.990366e-06,7.807601e-06,4.621163e-05
3.840000e-12,7.977552e-06,7.794032e-06,4.625575e-05
3.850000e-12,7.963569e-06,7.779266e-06,4.629960e-05
3.860000e-12,7.948459e-06,7.763343e-06,4.634321e-05
3.870000e-12,7.932268e-06,7.746304e-06,4.638657e-05
3.880000e-12,7.915040e-06,7.728195e-06,4.642970e-05
3.890000e-12,7.896823e-06,7.709059e-06,4.647259e-05
3.900000e-12,7.877667e-06,7.688945e-06,4.651525e-05
3.910000e-12,7.857619e-06,7.667900e-06,4.655770e-05
3.920000e-12,7.836733e-06,7.645973e-06,4.659993e-05
3.930000e-12,7.815059e-06,7.623214e-06,4.664195e-05
3.940000e-12,7.792651e-06,7.599676e-06,4.668376e-05
3.950000e-12,7.769562e-06,7.575410e-06,4.672538e-05
3.960000e-12,7.745847e-06,7.550470e-06,4.676681e-05
3.970000e-12,7.721561e-06,7.524909e-06,4.680806e-05
3.980000e-12,7.696760e-06,7.498782e-06,4.684912e-05
3.990000e-12,7.671500e-06,7.472144e-06,4.689000e-05
4.000000e-12,7.645837e-06,7.445050e-06,4.693072e-05
4.010000e-12,7.619826e-06,7.417555e-06,4.697127e-05
4.020000e-12,7.593526e-06,7.389716e-06,4.701166e-05
4.030000e-12,7.566993e-06,7.361588e-06,4.705190e-05
4.040000e-12,7.540282e-06,7.333227e-06,4.709199e-05
4.050000e-12,7.513449e-06,7.304688e-06,4.713194e-05
4.060000e-12,7.486552e-06,7.276028e-06,4.717174e-05
4.070000e-12,7.459645e-06,7.247301e-06,4.721142e-05
4.080000e-12,7.432782e-06,7.218561e-06,4.725096e-05
4.090000e-12,7.406018e-06,7.189864e-06,4.729037e-05
4.100000e-12,7.379407e-06,7.161261e-06,4.732967e-05
4.110000e-12,7.353000e-06,7.132807e-06,4.736885e-05
4.120000e-12,7.326850e-06,7.104553e-06,4.740791e-05
4.130000e-12,7.301008e-06,7.076550e-06,4.744687e-05
4.140000e-12,7.275522e-06,7.048848e-06,4.748573e-05
4.150000e-12,7.250442e-06,7.021496e-06,4.752448e-05
4.160000e-12,7.225814e-06,6.994542e-06,4.756314e-05
4.170000e-12,7.201684e-06,6.968032e-06,4.760171e-05
4.180000e-12,7.178097e-06,6.942012e-06,4.764018e-05
4.190000e-12,7.155095e-06,6.916525e-06,4.767857e-05
4.200000e-12,7.132721e-06,6.891614e-06,4.771688e-05
4.210000e-12,7.111013e-06,6.867320e-06,4.775511e-05
4.220000e-12,7.090010e-06,6.843681e-06,4.779327e-05
4.230000e-12,7.069748e-06,6.820737e-06,4.783135e-05
4.240000e-12,7.050262e-06,6.798521e-06,4.786936e-05
4.250000e-12,7.031585e-06,6.777070e-06,4.790731e-05
4.260000e-12,7.013748e-06,6.756414e-06,4.794519e-05
4.270000e-12,6.996779e-06,6.736585e-06,4.798301e-05
4.280000e-12,6.980705e-06,6.717611e-06,4.802077e-05
4.290000e-12,6.965553e-06,6.699519e-06,4.805848e-05
4.300000e-12,6.951344e-06,6.682333e-06,4.809613e-05
